AErathi Berserker	LEG:131
Orcish Librarian	TSB:66
Orcish Lumberjack	VMA:179
Orcish Mechanics	MED:106
Orcish Mine	HML:98
Orcish Oriflamme	S00:206
Orcish Settlers	WTH:112
Orcish Spy	FEM:124
Orcish Squatters	ME2:143
Orcish Vandal	DOM:137
Orcish Veteran	ME2:144
Ordeal of Erebos	THS:99
Ordeal of Heliod	THS:25
Ordeal of Nylea	THS:170
Ordeal of Purphoros	THS:131
Ordeal of Thassa	THS:58
Order	HOP:104
Order // Chaos	HOP:104
Order of Leitbur	MED:22
Order of Midnight	ELD:99
Order of Succession	C13:52
Order of Whiteclay	SHM:16
Order of Yawgmoth	USG:144
Order of the Ebon Hand	MED:78
Order of the Golden Cricket	MOR:19
Order of the Sacred Bell	CHK:232
Order of the Sacred Torch	ME2:25
Order of the Stars	GPT:13
Order of the White Shield	ME2:26
Ordered Migration	INV:258
Ordinary Pony	UST:17
Ordruun Commando	RAV:137
Ordruun Veteran	GTC:184
Ore Gorger	CHK:182
Ore-Scale Guardian	MH1:137
Oread of Mountain's Blaze	THB:146
Oreskos Explorer	C17:68
Oreskos Sun Guide	BNG:22
Oreskos Swiftclaw	M19:31
Organ Grinder	TOR:75
Organ Harvest	UGL:35
Orgg	TSB:67
Origin Spellbomb	SOM:189
Orim's Chant	PLS:11
Orim's Cure	MMQ:33
Orim's Prayer	TMP:245
Orim's Thunder	HOP:5
Orim's Touch	INV:23
Orim, Samite Healer	TPR:21
Oriss, Samite Guardian	FUT:28
Ormendahl, Profane Prince	SOI:281
Ormendahl, Profane Prince // Westvale Abbey	SOI:281
Ormos, Archive Keeper	JMP:13
Ornamental Courage	KLD:164
Ornate Kanzashi	BOK:157
Ornery Dilophosaur	M21:194
Ornery Goblin	JMP:353
Ornery Kudu	AKH:178
Ornitharch	BNG:23
Ornithopter	MRD:224
Orochi Eggwatcher	CHK:233
Orochi Eggwatcher // Shidako, Broodmistress	CHK:233
Orochi Hatchery	CHK:266
Orochi Leafcaller	CHK:234
Orochi Ranger	CHK:235
Orochi Sustainer	CHK:236
Oros, the Avenger	PPRE:32
Orzhov Advokist	C16:3
Orzhov Basilica	MM2:246
Orzhov Charm	GTC:185
Orzhov Cluestone	DGM:142
Orzhov Enforcer	RNA:79
Orzhov Euthanist	GPT:54
Orzhov Guildgate	WAR:269
Orzhov Guildmage	GPT:147
Orzhov Keyrune	GTC:233
Orzhov Locket	RNA:236
Orzhov Pontiff	GPT:124
Orzhov Racketeers	RNA:80
Orzhov Signet	MM3:224
Orzhova, the Church of Deals	GPT:162
Osai Vultures	ME4:21
Ostiary Thrull	GPT:55
Ostracize	ULG:57
Otarian Juggernaut	ODY:305
Otepec Huntmaster	XLN:153
Otherworld Atlas	AVR:219
Otherworldly Journey	MMA:23
Otherworldly Outburst	EMN:138
Oubliette	MED:79
Ouphe Vandals	5DN:90
Oust	ROE:40
Out of Bounds	BBD:38
Outbreak	PCY:71
Outer Rim Gang	SWS:407
Outflank	ELD:23
Outland Boar	AER:132
Outland Colossus	PPRE:227
Outlaws' Merriment	ELD:382
Outmaneuver	USG:205
Outmuscle	ELD:170
Outnumber	JMP:354
Outpost Siege	FRF:110
Outrage Shaman	EVE:59
Outrider en-Kor	TSP:31
Outrider of Jhess	ALA:52
Outwit	AVR:70
Ovalchase Daredevil	KLD:97
Ovalchase Dragster	KLD:225
Overabundance	INV:259
Overbeing of Myth	PPRE:37
Overblaze	BOK:114
Overburden	PCY:39
Overcome	M20:186
Overeager Apprentice	ODY:154
Overflowing Insight	XLN:66
Overgrown Armasaur	RIX:141
Overgrown Battlement	ROE:203
Overgrown Estate	APC:113
Overgrown Tomb	EXP:13
Overgrowth	STH:61
Overgrowth Elemental	M20:187
Overlaid Terrain	NEM:108
Overload	INV:157
Overmaster	TOR:104
Override	MRD:45
Overrule	DIS:120
Overrun	TPR:185
Overseer of the Damned	E01:36
Oversold Cemetery	ONS:160
Oversoul of Dusk	SHM:234
Overtaker	PPRE:9
Overwhelm	RAV:175
Overwhelmed Apprentice	ELD:60
Overwhelming Denial	OGW:61
Overwhelming Forces	PTK:79
Overwhelming Instinct	ONS:276
Overwhelming Intellect	SOK:51
Overwhelming Splendor	HOU:19
Overwhelming Stampede	MM2:153
Ovinize	PLC:57
Ovinomancer	VIS:39
Oviya Pashiri, Sage Lifecrafter	KLD:165
Owl Familiar	VMA:85
Ox of Agonas	THB:147
Oxidda Daredevil	SOM:100
Oxidda Golem	JVC:46
Oxidda Scrapmelter	SOM:101
Oxidize	MPRP:7
Oyobi, Who Split the Heavens	BOK:18
Pacification Array	AER:168
Pacifism	USG:27
Pack Guardian	SOI:221
Pack Hunt	NEM:109
Pack Leader	M21:392
Pack Mastiff	M20:152
Pack Rat	RTR:73
Pack's Disdain	MOR:73
Pack's Favor	GRN:139
Pact of Negation	MMA:56
Pact of the Titan	FUT:103
Padeem, Consul of Innovation	KLD:59
Pain	INV:294
Pain // Suffering	INV:294
Pain Kami	CHK:183
Pain Magnification	DIS:121
Pain Seer	MGDC:32
Pain's Reward	SOK:85
Painbringer	ODY:155
Painful Lesson	BBD:154
Painful Memories	MIR:31
Painful Quandary	SOM:73
Painful Truths	PPRE:281
Painiac	UST:91
Painsmith	SOM:74
Painted Bluffs	AKH:246
Painter's Servant	SHM:257
Painwracker Oni	CHK:136
Paired Tactician	ZNR:31
Palace Familiar	DTK:69
Palace Guard	M11:24
Palace Jailer	CN2:18
Palace Sentinels	CN2:19
Palace Siege	FRF:79
Paladin en-Vec	TPR:23
Paladin of Atonement	RIX:16
Paladin of Prahv	DIS:14
Paladin of the Bloodstained	XLN:25
Pale Bears	ICE:144
Pale Moon	NEM:36
Pale Recluse	ARC:91
Pale Rider of Trostad	SOI:128
Pale Wayfarer	SHM:17
Paleoloth	CON:88
Paliano Vanguard	CN2:20
Paliano, the High City	CNS:65
Palinchron	VMA:86
Palisade Giant	RTR:15
Palladia-Mors	ME3:164
Palladia-Mors, the Ruiner	M19:219
Palladium Myr	SOM:190
Palliation Accord	DIS:122
Pallid Mycoderm	PLC:10
Pallimud	TMP:195
Panacea	MMQ:308
Pandemonium	TSB:68
Pang Tong, 'Young Phoenix'	PTK:14
Panglacial Wurm	CSP:116
Pangosaur	MMQ:261
Panharmonicon	KLD:226
Panic	ME2:145
Panic Attack	PCY:98
Panic Spellbomb	SOM:191
Panoptic Mirror	DST:136
Panther Warriors	VIS:65
Paper Tiger	UGL:78
Paperfin Rascal	LRW:77
Paradigm Shift	WTH:46
Paradise Druid	WAR:171
Paradise Mantle	MMA:211
Paradise Plume	TSP:260
Paradox Engine	MPS:43
Paradox Haze	TSP:71
Paradoxical Outcome	KLD:60
Paragon of Eternal Wilds	M15:190
Paragon of Fierce Defiance	M15:158
Paragon of Gathering Mists	M15:73
Paragon of New Dawns	M15:23
Paragon of Open Graves	M15:111
Paragon of the Amesha	CON:14
Parallax Dementia	NEM:62
Parallax Inhibitor	NEM:134
Parallax Nexus	NEM:63
Parallax Tide	NEM:37
Parallax Wave	VMA:37
Parallectric Feedback	GPT:71
Parallel Evolution	TOR:136
Parallel Lives	ISD:199
Parallel Thoughts	SCG:44
Paralyze	VMA:132
Paralyzing Grasp	ZEN:58
Paranoid Delusions	GTC:186
Paranoid Parish-Blade	SOI:33
Parapet	VIS:114
Parapet Watchers	SHM:45
Paraselene	ISD:26
Parasitic Bond	USG:145
Parasitic Implant	NPH:67
Parasitic Strix	CON:32
Parcelbeast	IKO:304
Parch	ULG:86
Pardic Arsonist	TOR:105
Pardic Collaborator	TOR:106
Pardic Dragon	TSP:173
Pardic Firecat	ODY:211
Pardic Lancer	TOR:107
Pardic Miner	ODY:212
Pardic Swordsmith	ODY:213
Pardic Wanderer	DOM:226
Parhelion II	WAR:24
Parhelion Patrol	GRN:22
Pariah	USG:28
Pariah's Shield	RAV:267
Paroxysm	EXO:94
Part Water	LEG:66
Part the Veil	CHK:77
Part the Waterveil	PPRE:282
Parting Thoughts	C16:15
Pashalik Mons	MH1:138
Passwall Adept	GRN:50
Past in Flames	MM3:105
Patagia Golem	MIR:278
Patagia Tiger	IKO:26
Patagia Viper	DIS:89
Patchwork Gnomes	TPR:229
Path of Ancestry	C17:56
Path of Anger's Flame	SOK:109
Path of Bravery	M14:26
Path of Discovery	RIX:142
Path of Mettle	RIX:165
Path of Peace	USG:29
Path to Exile	MMA:25
Pathbreaker Ibex	CMA:132
Pathbreaker Wurm	AVR:188
Pathmaker Initiate	E01:113
Pathrazer of Ulamog	ROE:9
Pathway Arrows	BFZ:225
Patient Rebuilding	M19:67
Patriarch's Bidding	ONS:161
Patriarch's Desire	ODY:156
Patrician's Scorn	FUT:29
Patrol Hound	ODY:38
Patrol Signaler	EVE:12
Patron Wizard	ODY:89
Patron of the Akki	BOK:115
Patron of the Kitsune	BOK:19
Patron of the Moon	BOK:45
Patron of the Nezumi	CMD:93
Patron of the Orochi	BOK:138
Patron of the Valiant	ORI:28
Patron of the Vein	C17:20
Patron of the Wild	LGN:134
Pattern Matcher	M20:234
Pattern of Rebirth	UDS:115
Paupers' Cage	MIR:279
Pause for Reflection	GRN:140
Pavel Maliki	ME3:165
Pawn of Ulamog	ROE:122
Pay No Heed	TOR:12
Peace Strider	MBS:119
Peace Talks	VIS:115
Peace and Quiet	ULG:17
Peace of Mind	EXO:13
Peacekeeper	WTH:138
Peacewalker Colossus	AER:170
Peach Garden Oath	PTK:15
Peak Eruption	THS:132
Pearl Dragon	MIR:237
Pearl Lake Ancient	KTK:49
Pearl Medallion	TMP:290
Pearl Shard	MRD:225
Pearled Unicorn	LEB:216
Pearlspear Courier	ONS:48
Peat Bog	MMQ:322
Pedantic Learning	ODY:90
Peek	ODY:91
Peel from Reality	RAV:61
Peema Aether-Seer	AER:119
Peema Outrider	KLD:166
Peer Pressure	ONS:101
Peer Through Depths	MMA:57
Peer into the Abyss	M21:360
Pegasus Charger	USG:30
Pegasus Courser	M19:32
Pegasus Refuge	TMP:247
Pegasus Stampede	TPR:24
Pelakka Caverns	ZNR:120
Pelakka Predation	ZNR:120
Pelakka Wurm	ROE:204
Pelt Collector	GRN:141
Pemmin's Aura	SCG:45
Penance	EXO:15
Pendelhaven	TSB:120
Pendelhaven Elder	TSP:209
Pendrell Drake	USG:86
Pendrell Flux	USG:87
Pendrell Mists	WTH:47
Pendulum of Patterns	M19:288
Pennon Blade	ROE:221
Pensive Minotaur	JOU:105
Pentad Prism	HOP:122
Pentagram of the Ages	ME4:220
Pentarch Paladin	TSP:32
Pentarch Ward	TSP:33
Pentavus	MRD:226
Penumbra Bobcat	JMP:418
Penumbra Kavu	APC:83
Penumbra Spider	TSP:210
Penumbra Wurm	VMA:224
People of the Woods	DRK:46
Peppersmoke	MMA:92
Peregrination	BNG:132
Peregrine Drake	USG:88
Peregrine Griffin	M12:29
Peregrine Mask	RAV:268
Perfected Form	SOI:49
Perfected Form // Aberrant Researcher	SOI:49
Perilous Forays	RAV:176
Perilous Myr	SOM:192
Perilous Predicament	AER:68
Perilous Research	MMA:58
Perilous Shadow	RTR:74
Perilous Vault	M15:224
Perilous Voyage	XLN:67
Perimeter Captain	WWK:16
Perimeter Sergeant	IKO:27
Perish	TMP:41
Perish the Thought	ROE:123
Permafrost Trap	WWK:34
Permeating Mass	EMN:165
Pernicious Deed	JR:27
Perpetual Timepiece	KLD:227
Perplex	RAV:217
Perplexing Chimera	BNG:48
Persecute	USG:146
Persistent Nightmare	SOI:88
Persistent Nightmare // Startled Awake	SOI:88
Persistent Petitioners	RNA:44
Personal Incarnation	ME4:22
Personal Sanctuary	M12:30
Personal Tutor	POR:65
Persuasion	ODY:92
Pestermite	MMA:59
Pestilence	USG:147
Pestilence Demon	ROE:124
Pestilence Rats	ICE:45
Pestilent Haze	M21:118
Pestilent Kathari	CON:50
Pestilent Souleater	NPH:149
Pestilent Spirit	RNA:81
Petalmane Baku	BOK:139
Petals of Insight	MMA:60
Petra Sphinx	MED:23
Petradon	TOR:108
Petrahydrox	GPT:148
Petravark	TOR:109
Petrified Field	ODY:323
Petrified Plating	FUT:133
Petrified Wood-Kin	GPT:91
Petty Theft	ELD:39
Pewter Golem	MRD:227
Phage the Untouchable	LGN:78
Phalanx Formation	JOU:21
Phalanx Leader	THS:26
Phalanx Tactics	THB:31
Phantasmagorian	PLC:77
Phantasmal Abomination	ROE:80
Phantasmal Bear	M12:70
Phantasmal Dragon	M12:71
Phantasmal Fiend	ME2:108
Phantasmal Forces	ME4:55
Phantasmal Form	MH1:61
Phantasmal Image	MM3:46
Phantasmal Mount	ME2:59
Phantasmal Sphere	ALL:48
Phantasmal Terrain	ME4:56
Phantatog	ODY:291
Phantom Beast	M11:69
Phantom Centaur	JUD:127
Phantom Flock	JUD:16
Phantom General	RTR:16
Phantom Monster	MED:43
Phantom Nantuko	JUD:128
Phantom Ninja	MH1:62
Phantom Nishoba	JUD:140
Phantom Nomad	VMA:38
Phantom Tiger	JUD:129
Phantom Warrior	WTH:48
Phantom Whelp	ODY:93
Phantom Wings	WTH:49
Phantom Wurm	TSP:211
Pharagax Giant	BNG:104
Pharika's Chosen	JOU:78
Pharika's Cure	THS:100
Pharika's Disciple	ORI:194
Pharika's Libation	THB:111
Pharika's Mender	THS:197
Pharika's Spawn	THB:112
Pharika, God of Affliction	JOU:154
Phase Dolphin	IKO:62
Phelddagrif	MED:150
Phenax, God of Deception	BNG:152
Pheres-Band Brawler	THB:193
Pheres-Band Centaurs	THS:171
Pheres-Band Raiders	BNG:133
Pheres-Band Thunderhoof	JOU:134
Pheres-Band Tromper	BNG:134
Pheres-Band Warchief	JOU:135
Phobian Phantasm	CSP:66
Phoenix of Ash	THB:148
Phosphorescent Feast	FUT:149
Phthisis	TSP:122
Phylactery Lich	M19:113
Phylath, World Sculptor	ZNR:234
Phyresis	MBS:49
Phyrexia's Core	NPH:165
Phyrexian Altar	INV:306
Phyrexian Arena	HOP:36
Phyrexian Battleflies	INV:114
Phyrexian Bloodstock	PLS:50
Phyrexian Boon	MED:81
Phyrexian Broodlings	ULG:58
Phyrexian Colossus	USG:306
Phyrexian Crusader	MBS:50
Phyrexian Debaser	ULG:59
Phyrexian Defiler	VMA:133
Phyrexian Delver	INV:115
Phyrexian Denouncer	ULG:61
Phyrexian Devourer	ME2:216
Phyrexian Digester	MBS:120
Phyrexian Dreadnought	MIR:280
Phyrexian Driver	NEM:64
Phyrexian Etchings	CSP:67
Phyrexian Furnace	WTH:155
Phyrexian Gargantua	JMP:265
Phyrexian Ghoul	USG:148
Phyrexian Gremlins	ATQ:48
Phyrexian Grimoire	TMP:291
Phyrexian Hulk	TPR:230
Phyrexian Hydra	MBS:85
Phyrexian Infiltrator	INV:116
Phyrexian Ingester	NPH:41
Phyrexian Ironfoot	CSP:139
Phyrexian Juggernaut	MBS:121
Phyrexian Lens	INV:307
Phyrexian Marauder	VIS:151
Phyrexian Metamorph	NPH:42
Phyrexian Monitor	UDS:64
Phyrexian Negator	UDS:65
Phyrexian Obliterator	NPH:68
Phyrexian Plaguelord	ULG:62
Phyrexian Portal	ME2:217
Phyrexian Processor	V16:12
Phyrexian Prowler	NEM:65
Phyrexian Purge	MIR:333
Phyrexian Rager	MBS:51
Phyrexian Reaper	INV:117
Phyrexian Rebirth	MBS:15
Phyrexian Reclamation	ULG:63
Phyrexian Revoker	MBS:122
Phyrexian Scriptures	DOM:100
Phyrexian Scuta	PLS:51
Phyrexian Slayer	INV:118
Phyrexian Snowcrusher	CSP:140
Phyrexian Soulgorger	CSP:141
Phyrexian Splicer	TMP:293
Phyrexian Swarmlord	NPH:119
Phyrexian Totem	TSP:261
Phyrexian Tower	USG:322
Phyrexian Tribute	MIR:32
Phyrexian Tyranny	PLS:118
Phyrexian Unlife	NPH:18
Phyrexian Vatmother	MBS:52
Phyrexian Vault	MIR:281
Phyrexian Walker	VIS:152
Phyrexian War Beast	MED:162
Phytoburst	DGM:46
Phytohydra	RAV:218
Phytotitan	PPRE:87
Pia Nalaar	KLD:124
Pia and Kiran Nalaar	PPRE:228
Pia's Revolution	AER:91
Pianna, Nomad Captain	VMA:39
Pick the Brain	SOI:129
Pieces of the Puzzle	SOI:78
Pierce Strider	MBS:123
Pierce the Sky	DOM:176
Piety	ARN:64
Piety Charm	ONS:49
Pikemen	DRK:88
Pilfered Plans	MM3:178
Pilfering Imp	GRN:81
Pilgrim of Justice	ODY:40
Pilgrim of Virtue	ODY:41
Pilgrim of the Fires	FRF:162
Pilgrim's Eye	WWK:128
Pili-Pala	SHM:258
Pillage	MH1:139
Pillaging Horde	VMA:180
Pillar Tombs of Aku	VIS:17
Pillar of Flame	JMP:355
Pillar of Light	M15:24
Pillar of Origins	XLN:241
Pillar of War	BNG:160
Pillar of the Paruns	DIS:176
Pillarfield Ox	ZEN:31
Pillarverge Pathway	ZNR:263
Pillory of the Sleepless	MM2:183
Pin to the Earth	JOU:45
Pincer Spider	INV:201
Pincher Beetles	TMP:138
Pine Barrens	VMA:307
Pine Walker	KTK:143
Pinecrest Ridge	CHK:281
Pinion Feast	DTK:195
Pinnacle of Rage	BNG:105
Pinpoint Avalanche	ONS:221
Pious Evangel	SOI:34
Pious Evangel // Wayward Disciple	SOI:34
Pious Interdiction	XLN:26
Pious Kitsune	CHK:38
Pious Warrior	MMQ:34
Pious Wayfarer	THB:32
Piper of the Swarm	ELD:392
Piper's Melody	ODY:261
Pir's Whim	BBD:73
Pir, Imaginative Rascal	BBD:11
Piracy	S99:45
Piracy Charm	PLC:58
Piranha Marsh	ZEN:222
Pirate Ship	TSB:28
Pirate's Cutlass	XLN:242
Pirate's Pillage	RIX:109
Pirate's Prize	XLN:68
Piston Sledge	MBS:124
Piston-Fist Cyclops	GRN:217
Pistus Strike	MBS:86
Pit Fight	GTC:223
Pit Imp	TMP:42
Pit Keeper	TSP:123
Pit Raptor	PCY:72
Pit Scorpion	LEG:28
Pit Spawn	EXO:70
Pit Trap	USG:307
Pitchburn Devils	M21:156
Pitchstone Wall	TOR:110
Pitfall Trap	ZEN:32
Pith Driller	NPH:69
Pithing Needle	SOK:158
Pitiless Gorgon	GRN:218
Pitiless Horde	PPRE:186
Pitiless Plunderer	RIX:81
Pitiless Pontiff	RNA:194
Pitiless Vizier	AKH:103
Pixie Queen	LEG:110
Plagiarize	TOR:44
Plague Beetle	ULG:64
Plague Belcher	AKH:104
Plague Boiler	RAV:269
Plague Dogs	UDS:66
Plague Engineer	MH1:100
Plague Fiend	PCY:73
Plague Mare	M19:114
Plague Myr	MBS:125
Plague Rats	LEB:30
Plague Sliver	TSP:124
Plague Spitter	INV:119
Plague Spores	INV:260
Plague Stinger	SOM:75
Plague Wight	RNA:82
Plague Wind	PCY:74
Plague Witch	NEM:66
Plague of Vermin	SHM:73
Plaguebearer	EXO:71
Plaguecrafter	GRN:82
Plagued Rusalka	MM2:89
Plaguemaw Beast	MBS:87
Plains	UNH:136
Planar Birth	USG:31
Planar Bridge	MPS:45
Planar Chaos	JUD:97
Planar Cleansing	M20:33
Planar Collapse	ULG:18
Planar Despair	APC:50
Planar Gate	ME4:221
Planar Guide	LGN:18
Planar Outburst	PPRE:283
Planar Overlay	PLS:28
Planar Portal	INV:308
Planar Void	USG:149
Planebound Accomplice	MH1:140
Planeswalker's Favor	PLS:86
Planeswalker's Fury	PLS:70
Planeswalker's Mirth	PLS:12
Planeswalker's Mischief	PLS:29
Planeswalker's Scorn	PLS:52
Planewide Celebration	WAR:172
Plant Elemental	POR:107
Plasm Capture	DGM:91
Plasma Elemental	5DN:34
Plateau	VMA:308
Plated Crusher	BFZ:183
Plated Geopede	ZEN:141
Plated Pegasus	TSP:34
Plated Rootwalla	EXO:116
Plated Seastrider	SOM:38
Plated Slagwurm	MRD:127
Plated Sliver	LGN:19
Plated Spider	UDS:116
Plated Wurm	P02:12
Platinum Angel	V15:13
Platinum Emperion	SOM:193
Plaxcaster Frogling	MM2:184
Plaxmanta	DIS:29
Play of the Game	BBD:29
Plaza of Harmony	RNA:254
Plea for Guidance	BNG:24
Plea for Power	VMA:87
Pledge of Loyalty	INV:24
Pledge of Unity	WAR:210
Plover Knights	LRW:35
Plow Through Reito	SOK:22
Plow Under	UDS:117
Plumes of Peace	DIS:124
Plumeveil	SHM:145
Plummet	THB:194
Plunder	TSP:174
Plunge into Darkness	5DN:57
Poe Dameron	SWS:408
Poison Arrow	PTK:80
Poison the Well	SHM:193
Poison-Tip Archer	M19:220
Poisonbelly Ogre	GPT:57
Polar Kraken	MED:44
Polis Crusher	THS:198
Political Trickery	MIR:81
Pollen Lullaby	LRW:36
Pollen Remedy	PLS:13
Pollenbright Druid	WAR:173
Pollenbright Wings	RAV:219
Polluted Bonds	SHM:74
Polluted Dead	AVR:116
Polluted Delta	EXP:17
Polluted Mire	USG:323
Pollywog Symbiote	IKO:63
Polukranos, Unchained	THB:224
Polukranos, World Eater	THS:172
Polymorph	MIR:82
Polymorphist's Jest	M15:75
Polymorphous Rush	JOU:46
Polyraptor	RIX:144
Ponder	MPRP:29
Pondering Mage	MH1:63
Pongify	PLC:44
Pontiff of Blight	DGM:27
Ponyback Brigade	KTK:191
Pooling Venom	FUT:74
Porcelain Legionnaire	NPH:19
Porcuparrot	IKO:293
Pore Over the Pages	SOI:79
Porg Nest	SWS:513
Porphyry Nodes	PLC:28
Port Inspector	MMQ:90
Port Town	SOI:278
Portal Mage	C17:13
Portal of Sanctuary	M20:71
Portcullis	STH:133
Portcullis Vine	M21:195
Portent	ME2:60
Portent of Betrayal	THS:133
Possessed Aven	TOR:45
Possessed Barbarian	TOR:111
Possessed Centaur	TOR:137
Possessed Nomad	TOR:13
Possessed Portal	5DN:144
Possessed Skaab	ORI:215
Possibility Storm	DGM:34
Postmortem Lunge	NPH:70
Poultice Sliver	PLC:11
Poultrygeist	UGL:37
Pounce	XLN:200
Pouncing Cheetah	JMP:419
Pouncing Jaguar	USG:269
Pouncing Kavu	INV:158
Pouncing Lynx	WAR:25
Pouncing Shoreshark	IKO:64
Pouncing Wurm	PLC:136
Powder Keg	UDS:136
Power Armor	INV:309
Power Artifact	ME4:57
Power Conduit	MRD:229
Power Leak	LEB:72
Power Matrix	MMQ:309
Power Play	CNS:8
Power Sink	VMA:88
Power Surge	LEB:169
Power Taint	USG:90
Power of Fire	SHM:101
Powerleech	ATQ:64
Powerstone Minefield	APC:115
Powerstone Shard	DOM:227
Pox	MED:82
Practiced Tactics	ZNR:32
Pradesh Gypsies	LEG:111
Praetor's Counsel	MBS:88
Praetor's Grasp	NPH:71
Praetorian Trooper	SWS:514
Prahv, Spires of Order	DIS:177
Prairie Stream	EXP:1
Prakhata Club Security	KLD:98
Prakhata Pillar-Bug	KLD:228
Preacher	MED:24
Precinct Captain	RTR:17
Precise Strike	AER:92
Precision Bolt	GRN:267
Precognition	TMP:79
Precognition Field	DOM:61
Precognitive Perception	RNA:45
Precursor Golem	SOM:194
Predator Dragon	ALA:109
Predator Ooze	DKA:124
Predator's Gambit	AVR:117
Predator's Howl	CNS:37
Predator's Rapport	GTC:129
Predator's Strike	MRD:128
Predator, Flagship	VMA:279
Predatory Advantage	ARB:58
Predatory Focus	GPT:92
Predatory Hunger	EXO:117
Predatory Nightstalker	VMA:134
Predatory Rampage	M13:180
Predatory Sliver	M14:189
Predatory Urge	ZEN:175
Predatory Wurm	M21:338
Predict	ODY:94
Preeminent Captain	MOR:20
Preemptive Strike	PTK:50
Preferred Selection	MIR:131
Premature Burial	TSP:125
Preordain	M11:70
Prepared	AKH:220
Prepared // Fight	AKH:220
Prescient Chimera	THS:59
Presence of Gond	SHM:125
Presence of the Master	USG:32
Presence of the Wise	SOK:23
Press for Answers	SOI:80
Press into Service	OGW:114
Press the Advantage	E01:70
Pressure Point	ZNR:33
Pretender's Claim	MMQ:151
Prey Upon	M13:181
Prey's Vengeance	ROE:205
Preyseizer Dragon	PCA:50
Price of Betrayal	WAR:102
Price of Fame	GRN:83
Price of Glory	ODY:214
Price of Knowledge	C13:89
Price of Progress	EXO:95
Prickleboar	ORI:158
Prickly Boggart	MOR:74
Prickly Marmoset	IKO:129
Pride Guardian	M12:31
Pride Sovereign	HOU:126
Pride of Conquerors	RIX:17
Pride of Lions	S99:139
Pride of the Clouds	DIS:125
Pridemalkin	M21:196
Priest of Forgotten Gods	RNA:83
Priest of Gix	USG:150
Priest of Iroas	THS:134
Priest of Titania	USG:270
Priest of Urabrask	NPH:90
Priest of Yawgmoth	ATQ:49
Priest of the Blood Rite	PPRE:229
Priest of the Wakening Sun	XLN:27
Priests of Norn	MBS:16
Primal Amulet	XLN:243
Primal Amulet // Primal Wellspring	XLN:243
Primal Bellow	ZEN:176
Primal Beyond	MOR:149
Primal Boost	ONS:277
Primal Clay	ME4:222
Primal Cocoon	M11:191
Primal Command	MM3:132
Primal Druid	EMN:167
Primal Empathy	IKO:200
Primal Forcemage	TSP:212
Primal Frenzy	ODY:262
Primal Growth	PLS:87
Primal Huntbeast	M13:182
Primal Might	M21:377
Primal Order	MED:125
Primal Plasma	PLC:59
Primal Rage	STH:62
Primal Surge	AVR:189
Primal Vigor	C13:162
Primal Visitation	GTC:187
Primal Wellspring	XLN:243
Primal Wellspring // Primal Amulet	XLN:243
Primal Whisperer	LGN:135
Primalcrux	EVE:73
Prime Speaker Vannifar	RNA:195
Prime Speaker Zegana	GTC:188
Primeval Bounty	M14:190
Primeval Force	POR:108
Primeval Light	GPT:93
Primeval Protector	C16:23
Primeval Shambler	MMQ:152
Primeval Titan	PGPX:8
Primevals' Glorious Rebirth	DOM:201
Primitive Etchings	SCG:126
Primitive Justice	ME4:130
Primoc Escapee	LGN:49
Primordial Hydra	MBP:49
Primordial Ooze	LEG:157
Primordial Sage	RAV:177
Primordial Wurm	WAR:174
Prince of Thralls	ALA:182
Princess Lucrezia	ME3:166
Prism Array	PPRE:285
Prism Ring	ORI:235
Prismatic Boon	MIR:334
Prismatic Circle	MIR:238
Prismatic Geoscope	C16:55
Prismatic Lace	MIR:84
Prismatic Lens	TSP:262
Prismatic Omen	SHM:126
Prismatic Strands	JUD:18
Prismatic Vista	MH1:244
Prismatic Ward	ICE:271
Prismite	WAR:242
Prismwake Merrow	SHM:46
Prison Barricade	INV:25
Prison Realm	WAR:26
Prison Term	SHM:18
Pristine Angel	DST:9
Pristine Skywise	PPRE:187
Pristine Talisman	NPH:151
Private Research	UDS:41
Privileged Position	RAV:251
Prized Amalgam	SOI:249
Prized Elephant	M13:27
Prized Griffin	ELD:24
Prized Unicorn	ORI:287
Prizefighter Construct	AER:172
Probe	INV:66
Processor Assault	BFZ:132
Proclamation of Rebirth	DIS:15
Prodigal Pyromancer	PLC:118
Prodigal Sorcerer	TSB:29
Prodigious Growth	M19:194
Profane Command	MM2:90
Profane Insight	ELD:90
Profane Memento	M15:226
Profane Prayers	ONS:162
Profane Procession	RIX:166
Profaner of the Dead	PPRE:188
Profit	DGM:130
Profit // Loss	DGM:130
Profound Journey	DTK:30
Progenitor Mimic	DGM:92
Progenitus	V11:9
Prognostic Sphinx	THS:60
Prohibit	MH1:64
Promise of Bunrei	SOK:24
Promise of Power	MRD:74
Promised Kannushi	SOK:141
Propaganda	TMP:80
Propeller Pioneer	KLD:24
Proper Burial	DIS:16
Prophecy	HML:114
Prophet of Distortion	OGW:46
Prophet of Kruphix	THS:199
Prophet of the Peak	ELD:227
Prophetic Bolt	VMA:257
Prophetic Flamespeaker	JOU:106
Prophetic Prism	ROE:222
Prophetic Ravings	EMN:139
Prosperity	VIS:40
Prosperous Pirates	XLN:69
Prossh, Skyraider of Kher	CMR:530
Protean Hulk	DIS:90
Protean Hydra	M11:194
Protean Raider	RIX:167
Protean Thaumaturge	THB:60
Protect	DGM:131
Protect // Serve	DGM:131
Protection of the Hekma	AKH:23
